scenario,condition,method,distribution_aware,epsilon,inflation,seed,time_s,speed_ms,min_dist_m,min_ttc_s,collision_count,ade,fde
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,4,20.40000000000002,2.386880787134328,1.8271367046947866,0.516480255977033,0,2.1229729439283163,3.8156682367167947
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,5,20.200000000000017,2.4075974298656777,1.8465709480021257,0.6264029735186765,0,2.1006665273882885,3.7739880106435266
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,6,19.1,2.5598755023584223,1.5965615763311722,0.39212900985532606,0,2.1189293394470416,3.819493678729905
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,7,15.499999999999961,3.1162714838735504,1.4795954013406558,0.4654849612857745,0,2.0612041725228467,3.6815445865061127
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,8,19.400000000000006,2.5157700017656803,1.6419791872085578,0.43173196177196305,0,2.110057342435232,3.7977446113954767
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,9,19.900000000000013,2.442808591406549,1.9126409798413435,0.7054103088744942,0,2.116335161029572,3.8115389709625016
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,10,19.400000000000006,2.5263767327683757,1.5903823222335203,0.39296193317317185,0,2.1060354694328014,3.7830884057340235
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,11,20.100000000000016,2.4242729174931887,1.835040871162852,0.6275826242263133,0,2.1154690141752237,3.805582705107283
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,12,19.300000000000004,2.519833338052058,1.5878908098958981,0.3849891206161097,0,2.1089814977261976,3.792275530308273
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,13,19.900000000000013,2.4542612795947405,1.828807372000888,0.6341268619239335,0,2.1238201971608084,3.818129588798032
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,14,20.200000000000017,2.421453011349289,1.7653421827035778,0.5545197814398727,0,2.103112100196035,3.7803546392848633
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,15,20.200000000000017,2.409869139932996,1.8095679985259383,0.5868084578917813,0,2.108591602096159,3.789074674515386
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,16,20.30000000000002,2.4069033776803113,1.8012753655964426,0.5822959628367276,0,2.1095420965865825,3.7875368409457435
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,17,20.200000000000017,2.4194478188746578,1.8113583449709407,0.5868424745077737,0,2.107896694921516,3.7799964593227813
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,18,20.600000000000023,2.35572320306892,1.855330371127668,0.7058071247818553,0,2.1211804937190144,3.8111957527206473
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,19,19.300000000000004,2.517698580342356,1.7091089532119244,0.4623478068208756,0,2.1069618858308217,3.7944428212487087
scenario_02,sgan_single_inf1.35,sgan,False,0.0,1.35,0,20.50000000000002,2.3736768198413722,2.1844944269989623,0.6892002750221542,0,2.1086123072511413,3.800294677166559
scenario_02,sgan_single_inf1.35,sgan,False,0.0,1.35,1,20.200000000000017,2.4125734696939194,1.8857437323624089,0.6010689374051356,0,2.1273900546219267,3.8330549465358676
scenario_02,sgan_single_inf1.35,sgan,False,0.0,1.35,2,20.700000000000024,2.3607639674421277,1.932585077032098,0.6611772356594033,0,2.129953772864537,3.83241052779638
scenario_02,sgan_single_inf1.35,sgan,False,0.0,1.35,3,23.500000000000064,2.086203511710404,1.710538437589544,0.3326210401575932,0,2.0631855934983876,3.716561633373832
scenario_02,sgan_single_inf1.35,sgan,False,0.0,1.35,4,23.400000000000063,2.0994536987565966,1.6145177998310045,0.28367119045828215,0,2.0654217182730688,3.7195536232980966
scenario_02,sgan_single_inf1.35,sgan,False,0.0,1.35,5,23.700000000000067,2.0703483925146604,1.6636236921679182,0.31166812073279154,0,2.046276176529293,3.686719916542977
scenario_02,sgan_single_inf1.35,sgan,False,0.0,1.35,6,20.200000000000017,2.4173527944473947,2.001787422437521,0.6853453455754689,0,2.122399461626212,3.8294291632651722
scenario_02,sgan_single_inf1.35,sgan,False,0.0,1.35,7,20.100000000000016,2.429127287847074,2.091870624087466,0.7582766666187059,0,2.108219316895822,3.7869189313715976
scenario_02,sgan_single_inf1.35,sgan,False,0.0,1.35,8,20.200000000000017,2.4100346138278463,2.345891275240096,0.9873841099821483,0,2.1112233800875075,3.800209718136586
