source,test_id,family,headline,p_value,family_size,family_bh_q,family_holm_p,family_bh_reject,family_holm_reject,overall_size,overall_bh_q,overall_holm_p,overall_bh_reject,overall_holm_reject,description
rq3_realloop,rq3.v1.collision_mcnemar.avec.sgan.robust,rq3_v1_collision_mcnemar_ctrl,False,0.125,14,0.175,1.0,False,False,117,0.18409090909090897,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, avec vs replay (sgan/robust; discordant pairs 0+4)"
rq3_realloop,rq3.v1.reactivity_sign.norep.cv.single,rq3_v1_reactivity_ctrl,False,0.8450189828872681,18,1.0,1.0,False,False,117,0.8906956846649582,1.0,False,False,"Paired per-encounter sign test: norep SFM arm vs replay reference, same-time min separation (cv/single, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.norep.cv.single,rq3_v1_collision_mcnemar_ctrl,False,0.0625,14,0.175,0.6875,False,False,117,0.10299295774647887,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, norep vs replay (cv/single; discordant pairs 0+5)"
rq3_realloop,rq3.v1.reactivity_sign.norep.cv.robust,rq3_v1_reactivity_ctrl,False,0.8450189828872681,18,1.0,1.0,False,False,117,0.8906956846649582,1.0,False,False,"Paired per-encounter sign test: norep SFM arm vs replay reference, same-time min separation (cv/robust, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.reactivity_sign.norep.lstm.single,rq3_v1_reactivity_ctrl,False,1.0,18,1.0,1.0,False,False,117,1.0,1.0,False,False,"Paired per-encounter sign test: norep SFM arm vs replay reference, same-time min separation (lstm/single, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.norep.lstm.single,rq3_v1_collision_mcnemar_ctrl,False,0.125,14,0.175,1.0,False,False,117,0.18409090909090897,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, norep vs replay (lstm/single; discordant pairs 0+4)"
rq3_realloop,rq3.v1.reactivity_sign.norep.lstm.robust,rq3_v1_reactivity_ctrl,False,0.557197093963623,18,1.0,1.0,False,False,117,0.6150194339032443,1.0,False,False,"Paired per-encounter sign test: norep SFM arm vs replay reference, same-time min separation (lstm/robust, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.norep.lstm.robust,rq3_v1_collision_mcnemar_ctrl,False,1.0,14,1.0,1.0,False,False,117,1.0,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, norep vs replay (lstm/robust; discordant pairs 0+1)"
rq3_realloop,rq3.v1.reactivity_sign.norep.sgan.single,rq3_v1_reactivity_ctrl,False,0.8450189828872681,18,1.0,1.0,False,False,117,0.8906956846649582,1.0,False,False,"Paired per-encounter sign test: norep SFM arm vs replay reference, same-time min separation (sgan/single, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.norep.sgan.single,rq3_v1_collision_mcnemar_ctrl,False,0.125,14,0.175,1.0,False,False,117,0.18409090909090897,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, norep vs replay (sgan/single; discordant pairs 0+4)"
rq3_realloop,rq3.v1.reactivity_sign.norep.sgan.robust,rq3_v1_reactivity_ctrl,False,0.16863754391670227,18,1.0,1.0,False,False,117,0.23488800759826386,1.0,False,False,"Paired per-encounter sign test: norep SFM arm vs replay reference, same-time min separation (sgan/robust, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.norep.sgan.robust,rq3_v1_collision_mcnemar_ctrl,False,0.5,14,0.5384615384615384,1.0,False,False,117,0.5792079207920792,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, norep vs replay (sgan/robust; discordant pairs 0+2)"
rq3_realloop,rq3.v1.reactivity_sign.calib13x.cv.single,rq3_v1_reactivity_ctrl,False,0.557197093963623,18,1.0,1.0,False,False,117,0.6150194339032443,1.0,False,False,"Paired per-encounter sign test: calib13x SFM arm vs replay reference, same-time min separation (cv/single, seeds collapsed to encounter means, n=26)"
